,ds,trend,trend_lower,trend_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat,yhat_lower,yhat_upper
668,2018-02-28,84.9777943821953,84.9777943821953,84.9777943821953,-0.1310728134867917,-0.1310728134867917,-0.1310728134867917,-2.1388896012425924,-2.1388896012425924,-2.1388896012425924,78.89764592684466,75.97016415566218,81.87745296398387
669,2018-03-01,84.94288117292956,84.94288117292956,84.94288117292956,-0.12613990719732363,-0.12613990719732363,-0.12613990719732363,-1.9997751540994795,-1.9997751540994795,-1.9997751540994795,79.00678007101149,76.19494492011597,82.16856178795908
670,2018-03-02,84.90796796366382,84.90796796366382,84.90796796366382,-0.175531821375846,-0.175531821375846,-0.175531821375846,-1.869751635335209,-1.869751635335209,-1.869751635335209,79.05249846633151,76.08460281495744,82.21099039721193
671,2018-03-05,84.80322833586659,84.80322833586659,84.80322833586659,-0.31347471821062783,-0.31347471821062783,-0.31347471821062783,-1.5357883773138332,-1.5357883773138332,-1.5357883773138332,79.14377919972087,76.08468985009776,82.14711538958034
672,2018-03-06,84.76831512660084,84.76831512660084,84.76831512660084,-0.2063272245414411,-0.2063272245414411,-0.2063272245414411,-1.4427694548109213,-1.4427694548109213,-1.4427694548109213,79.30903240662721,76.44848423959031,82.30845203790764
673,2018-03-07,84.7334019173351,84.7334019173351,84.7334019173351,-0.13107281348671299,-0.13107281348671299,-0.13107281348671299,-1.3583398635148294,-1.3583398635148294,-1.3583398635148294,79.4338031997123,76.3919701193364,82.15992180631233
674,2018-03-08,84.69848870806936,84.69848870806936,84.69848870806936,-0.12613990719666396,-0.12613990719666396,-0.12613990719666396,-1.2820099996962575,-1.2820099996962575,-1.2820099996962575,79.48015276055519,76.58297123315016,82.30416498843275
675,2018-03-09,84.6635754988036,84.6635754988036,84.6635754988036,-0.17553182137601075,-0.17553182137601075,-0.17553182137601075,-1.2132320718375633,-1.2132320718375633,-1.2132320718375633,79.46462556496876,76.55899511981575,82.69766980572165
676,2018-03-12,84.5588358710064,84.5588358710064,84.5588358710064,-0.3134747182106383,-0.3134747182106383,-0.3134747182106383,-1.0464612874568875,-1.0464612874568875,-1.0464612874568875,79.38871382471761,76.31534607197295,82.45674251369635
677,2018-03-13,84.52392266174063,84.52392266174061,84.52392266174061,-0.20632722454178798,-0.20632722454178798,-0.20632722454178798,-1.002225317303293,-1.002225317303293,-1.002225317303293,79.50518407927429,76.61129717822462,82.55076131063946
678,2018-03-14,84.48900945247489,84.48900945247489,84.48900945247489,-0.13107281348690775,-0.13107281348690775,-0.13107281348690775,-0.9628594291875905,-0.9628594291875905,-0.9628594291875905,79.58489116917913,76.66655349426469,82.41962786610829
679,2018-03-15,84.45409624320916,84.45409624320916,84.45409624320916,-0.12613990719739523,-0.12613990719739523,-0.12613990719739523,-0.9279731757332577,-0.9279731757332577,-0.9279731757332577,79.58979711965725,76.52523839318148,82.56254677404839
680,2018-03-16,84.41918303394341,84.41918303394341,84.41918303394341,-0.17553182137551457,-0.17553182137551457,-0.17553182137551457,-0.8972480068387699,-0.8972480068387699,-0.8972480068387699,79.53621716510787,76.46197582716295,82.49114000880725
681,2018-03-19,84.31444340614617,84.31444340614617,84.31444340614617,-0.31347471821056,-0.31347471821056,-0.31347471821056,-0.8278982453510697,-0.8278982453510697,-0.8278982453510697,79.36288440196327,76.4295132085909,82.4082906938479
682,2018-03-20,84.27953019688044,84.27953019688044,84.27953019688044,-0.20632722454170416,-0.20632722454170416,-0.20632722454170416,-0.8119714445964863,-0.8119714445964863,-0.8119714445964863,79.451045487121,76.71880714941928,82.54419825371974
683,2018-03-21,84.24461698761469,84.24461698761469,84.24461698761469,-0.13107281348667713,-0.13107281348667713,-0.13107281348667713,-0.7995329774139299,-0.7995329774139299,-0.7995329774139299,79.50382515609283,76.65311643343797,82.59800607730897
684,2018-03-22,84.20970377834895,84.20970377834895,84.20970377834895,-0.12613990719722434,-0.12613990719722434,-0.12613990719722434,-0.7905457684557193,-0.7905457684557193,-0.7905457684557193,79.48283206207475,76.55839615266652,82.56093352597124
685,2018-03-23,84.1747905690832,84.1747905690832,84.1747905690832,-0.1755318213750184,-0.1755318213750184,-0.1755318213750184,-0.784964056578276,-0.784964056578276,-0.784964056578276,79.40410865050865,76.19250360571039,82.48289176673873
686,2018-03-26,84.07005094128598,84.07005094128598,84.07005094128598,-0.31347471821057055,-0.31347471821057055,-0.31347471821057055,-0.7876535254758539,-0.7876535254758539,-0.7876535254758539,79.1587366569783,76.35178278732553,82.27256715230374
687,2018-03-27,84.03537130742126,84.03537130742126,84.03537130742126,-0.20632722454144295,-0.20632722454144295,-0.20632722454144295,-0.7943891409280583,-0.7943891409280583,-0.7943891409280583,79.2244689013305,76.18229298549493,82.29486676369923
688,2018-03-28,84.00069167355653,84.00069167355653,84.00069167355653,-0.1310728134868718,-0.1310728134868718,-0.1310728134868718,-0.8035193199326678,-0.8035193199326678,-0.8035193199326678,79.25591349951573,76.48292068930087,82.24978298822498
689,2018-03-29,83.96601203969179,83.96601203969179,83.96601203969179,-0.12613990719701573,-0.12613990719701573,-0.12613990719701573,-0.8145835815069518,-0.8145835815069518,-0.8145835815069518,79.21510251036656,76.22218177146308,82.30964155651947
690,2018-04-02,83.82729350423291,83.82729350423291,83.82729350423291,-0.3134747182105811,-0.3134747182105811,-0.3134747182105811,-0.8653804165705382,-0.8653804165705382,-0.8653804165705382,78.83825232883054,75.71374144063455,81.87606073536185
691,2018-04-03,83.79261387036817,83.79261387036817,83.79261387036817,-0.20632722454118174,-0.20632722454118174,-0.20632722454118174,-0.8756985590715245,-0.8756985590715245,-0.8756985590715245,78.9004020461342,75.8630893620599,81.70856149657128
692,2018-04-04,83.75793423650344,83.75793423650344,83.75793423650344,-0.13107281348691463,-0.13107281348691463,-0.13107281348691463,-0.8832041387830661,-0.8832041387830661,-0.8832041387830661,78.9334712436122,75.88256458354527,82.07908633168913
693,2018-04-05,83.72325460263872,83.72325460263872,83.72325460263872,-0.1261399071972959,-0.1261399071972959,-0.1261399071972959,-0.8868945767077893,-0.8868945767077893,-0.8868945767077893,78.90003407811237,75.60453266361337,82.00346386627028
694,2018-04-06,83.68857496877399,83.68857496877399,83.68857496877399,-0.175531821375639,-0.175531821375639,-0.175531821375639,-0.8857654089396331,-0.8857654089396331,-0.8857654089396331,78.81709169783745,75.82378673718317,81.82934311411067
695,2018-04-09,83.58453606717983,83.58453606717983,83.58453606717983,-0.31347471821050277,-0.31347471821050277,-0.31347471821050277,-0.8439918494448123,-0.8439918494448123,-0.8439918494448123,78.61688345890325,75.60528326943503,81.5673254607382
696,2018-04-10,83.5498564333151,83.5498564333151,83.5498564333151,-0.2063272245415286,-0.2063272245415286,-0.2063272245415286,-0.814515059092943,-0.814515059092943,-0.814515059092943,78.71882810905936,75.57576276687895,81.72331402887491
697,2018-04-11,83.51517679945037,83.51517679945037,83.51517679945037,-0.13107281348683594,-0.13107281348683594,-0.13107281348683594,-0.7761834854257904,-0.7761834854257904,-0.7761834854257904,78.79773445991648,75.83055947890611,81.9863161292242
698,2018-04-12,83.48049716558565,83.48049716558565,83.48049716558565,-0.12613990719757615,-0.12613990719757615,-0.12613990719757615,-0.7285841844499182,-0.7285841844499182,-0.7285841844499182,78.81558703331689,75.92269003187201,81.69721710544925
699,2018-04-13,83.44581753172092,83.44581753172092,83.44581753172092,-0.1755318213758038,-0.1755318213758038,-0.1755318213758038,-0.6714904015410125,-0.6714904015410125,-0.6714904015410125,78.78860926818284,75.80395590745388,81.83176692272713
700,2018-04-16,83.34177863012675,83.34177863012675,83.34177863012675,-0.3134747182105133,-0.3134747182105133,-0.3134747182105133,-0.444054381486607,-0.444054381486607,-0.444054381486607,78.77406348980837,75.7298101275933,81.7380602204558
701,2018-04-17,83.30709899626203,83.30709899626203,83.30709899626203,-0.20632722454144484,-0.20632722454144484,-0.20632722454144484,-0.3508639339469135,-0.3508639339469135,-0.3508639339469135,78.9397217971524,76.08253916999755,82.03543662492278
702,2018-04-18,83.2724193623973,83.2724193623973,83.2724193623973,-0.13107281348675723,-0.13107281348675723,-0.13107281348675723,-0.2501809075813932,-0.2501809075813932,-0.2501809075813932,79.08097960070789,76.04244459643853,81.92603812268362
703,2018-04-19,83.23773972853256,83.23773972853256,83.23773972853256,-0.12613990719740523,-0.12613990719740523,-0.12613990719740523,-0.14301670849433518,-0.14301670849433518,-0.14301670849433518,79.15839707221956,76.19708137130074,82.2092682352095
704,2018-04-20,83.20306009466783,83.20306009466783,83.20306009466783,-0.17553182137559864,-0.17553182137559864,-0.17553182137559864,-0.030551532545723462,-0.030551532545723462,-0.030551532545723462,79.18679070012524,76.22594740225998,82.13947934958426
705,2018-04-23,83.09902119307368,83.09902119307368,83.09902119307368,-0.31347471821099543,-0.31347471821099543,-0.31347471821099543,0.3249160632581905,0.3249160632581905,0.3249160632581905,79.30027649749962,76.32716813915462,82.24393996180538
706,2018-04-24,83.06434155920894,83.06434155920894,83.06434155920894,-0.20632722454161428,-0.20632722454161428,-0.20632722454161428,0.4444499031833804,0.4444499031833804,0.4444499031833804,79.49227819722945,76.54799828089594,82.42358852329988
707,2018-04-25,83.02966192534421,83.02966192534421,83.02966192534421,-0.13107281348695188,-0.13107281348695188,-0.13107281348695188,0.5619524680536697,0.5619524680536697,0.5619524680536697,79.65035553928968,76.73812301324973,82.79870210189208
708,2018-04-26,82.99498229147949,82.99498229147949,82.99498229147949,-0.12613990719764767,-0.12613990719764767,-0.12613990719764767,0.6759407121627247,0.6759407121627247,0.6759407121627247,79.7345970558233,76.71811537585432,82.77101584076921
709,2018-04-27,82.96030265761476,82.96030265761476,82.96030265761476,-0.17553182137576342,-0.17553182137576342,-0.17553182137576342,0.7850232896949141,0.7850232896949141,0.7850232896949141,79.75960808531265,76.88415337403225,82.57950722778247
