,ds,trend,trend_lower,trend_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat,yhat_lower,yhat_upper
666,2017-03-06,55.44989989179297,55.44989989179297,55.44989989179297,-0.10655223170565745,-0.10655223170565745,-0.10655223170565745,0.2588087999069139,0.2588087999069139,0.2588087999069139,53.82371651118542,52.08822607931268,55.45208534149901
667,2017-03-07,55.43358406600888,55.43358406600889,55.43358406600889,-0.07114637015858534,-0.07114637015858534,-0.07114637015858534,0.24276479506219822,0.24276479506219822,0.24276479506219822,53.826762542103694,52.082946800423535,55.616363612616745
668,2017-03-08,55.417268240224786,55.417268240224786,55.417268240224786,-0.07331492874277637,-0.07331492874277637,-0.07331492874277637,0.2193398886035969,0.2193398886035969,0.2193398886035969,53.7848532512768,51.973442224257646,55.51557266165474
669,2017-03-09,55.400952414440695,55.400952414440695,55.400952414440695,-0.10713441684454737,-0.10713441684454737,-0.10713441684454737,0.18838117842188143,0.18838117842188143,0.18838117842188143,53.703759227209225,51.98452428529144,55.463671899154015
670,2017-03-10,55.38463658865661,55.384636588656605,55.384636588656605,-0.08646195260494582,-0.08646195260494582,-0.08646195260494582,0.1498122168811759,0.1498122168811759,0.1498122168811759,53.66954690412403,51.886267314015996,55.39921879835568
671,2017-03-13,55.33568911130434,55.33568911130434,55.33568911130434,-0.10655223170602378,-0.10655223170602378,-0.10655223170602378,-0.011089872103934336,-0.011089872103934336,-0.011089872103934336,53.439607058685574,51.748028311076816,55.10687395929919
672,2017-03-14,55.31937328552025,55.31937328552025,55.31937328552025,-0.07114637015855564,-0.07114637015855564,-0.07114637015855564,-0.07920056738325071,-0.07920056738325071,-0.07920056738325071,53.390586399169635,51.685552660285985,55.00397043885741
673,2017-03-15,55.30305745973616,55.30305745973616,55.30305745973616,-0.0733149287427146,-0.0733149287427146,-0.0733149287427146,-0.15403069880641435,-0.15403069880641435,-0.15403069880641435,53.29727188337822,51.495703873129116,54.986313424521924
674,2017-03-16,55.28674163395206,55.28674163395206,55.28674163395206,-0.10713441684428571,-0.10713441684428571,-0.10713441684428571,-0.23513142610226953,-0.23513142610226953,-0.23513142610226953,53.1660358421967,51.438902729981585,54.756013871824436
675,2017-03-17,55.27042580816798,55.27042580816798,55.27042580816798,-0.08646195260520934,-0.08646195260520934,-0.08646195260520934,-0.32196221003108916,-0.32196221003108916,-0.32196221003108916,53.083561696722875,51.38585305361145,54.76566526498237
676,2017-03-20,55.22147833081571,55.22147833081571,55.22147833081571,-0.10655223170604233,-0.10655223170604233,-0.10655223170604233,-0.6100929050584788,-0.6100929050584788,-0.6100929050584788,52.72639324524238,51.04742136236304,54.48464037445885
677,2017-03-21,55.205162505031616,55.205162505031616,55.205162505031616,-0.07114637015867574,-0.07114637015867574,-0.07114637015867574,-0.7126814560576752,-0.7126814560576752,-0.7126814560576752,52.64289473000646,50.917412201816624,54.418557135255945
