,ds,trend,trend_lower,trend_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat,yhat_lower,yhat_upper
0,2014-07-14,31.476336589147962,31.476336589147962,31.476336589147962,-0.03746336645917078,-0.03746336645917078,-0.03746336645917078,1.5144014393730554,1.5144014393730554,1.5144014393730554,32.78440640225499,30.725841995360717,34.70902857641292
1,2014-07-15,31.514753558093098,31.514753558093098,31.514753558093098,-0.0047595255418627185,-0.0047595255418627185,-0.0047595255418627185,1.6226466848836816,1.6226466848836816,1.6226466848836816,32.96377245762805,30.909462339039546,34.89020458775703
2,2014-07-16,31.553170527038237,31.55317052703824,31.55317052703824,0.03255755949604504,0.03255755949604504,0.03255755949604504,1.728634847422147,1.728634847422147,1.728634847422147,33.14549467414957,31.2018576281246,35.154104489797106
3,2014-07-17,31.591587495983372,31.591587495983372,31.591587495983372,-0.0008295094390997562,-0.0008295094390997562,-0.0008295094390997562,1.830659630626794,1.830659630626794,1.830659630626794,33.2525493573642,31.279204387613255,35.427564475994004
4,2014-07-18,31.630004464928515,31.630004464928515,31.630004464928515,-0.03172214606849062,-0.03172214606849062,-0.03172214606849062,1.9270699715738044,1.9270699715738044,1.9270699715738044,33.356484030626966,31.23463556621628,35.473324130266626
5,2014-07-21,31.74525537176393,31.74525537176393,31.74525537176393,-0.0374633664591745,-0.0374633664591745,-0.0374633664591745,2.167573168026073,2.167573168026073,2.167573168026073,33.706496913523964,31.57072065145934,35.83981125369326
6,2014-07-22,31.783672340709067,31.783672340709067,31.783672340709067,-0.004759525541813915,-0.004759525541813915,-0.004759525541813915,2.2271664747819933,2.2271664747819933,2.2271664747819933,33.837211030142385,31.77969195705986,35.698152783721085
7,2014-07-23,31.822089309654203,31.822089309654203,31.822089309654203,0.032557559496036705,0.032557559496036705,0.032557559496036705,2.2747295297365073,2.2747295297365073,2.2747295297365073,33.960508139079884,31.922060321186652,35.94907878910831
8,2014-07-24,31.860506278599345,31.860506278599345,31.860506278599345,-0.0008295094391491152,-0.0008295094391491152,-0.0008295094391491152,2.3095092305252884,2.3095092305252884,2.3095092305252884,34.000317739878625,31.867398986838214,36.02963199343301
9,2014-07-25,31.89892324754448,31.89892324754448,31.89892324754448,-0.0317221460684941,-0.0317221460684941,-0.0317221460684941,2.3309660011430786,2.3309660011430786,2.3309660011430786,34.0292988428122,32.01710400086398,36.08313953467835
10,2014-07-28,32.0141741543799,32.0141741543799,32.0141741543799,-0.03746336645914468,-0.03746336645914468,-0.03746336645914468,2.3133270476530705,2.3133270476530705,2.3133270476530705,34.12116957576697,32.01451917768185,36.2238868162112
11,2014-07-29,32.05259112332504,32.05259112332504,32.05259112332504,-0.004759525541894323,-0.004759525541894323,-0.004759525541894323,2.2805267633482846,2.2805267633482846,2.2805267633482846,34.159490101324565,32.142874120248365,36.259397182312966
12,2014-07-30,32.09100809227018,32.09100809227018,32.09100809227018,0.03255755949603437,0.03255755949603437,0.03255755949603437,2.235005915381774,2.235005915381774,2.235005915381774,34.18970330734113,32.011376857237984,36.15490971583671
13,2014-07-31,32.12942506121531,32.12942506121531,32.12942506121531,-0.000829509439198475,-0.000829509439198475,-0.000829509439198475,2.1775031588048646,2.1775031588048646,2.1775031588048646,34.13723045077411,32.07224257917136,36.07289281385326
14,2014-08-01,32.16784203016045,32.16784203016045,32.16784203016045,-0.03172214606849759,-0.03172214606849759,-0.03172214606849759,2.1089305685715094,2.1089305685715094,2.1089305685715094,34.0761821928566,31.99412867155745,36.19921100422297
15,2014-08-04,32.283092936995864,32.283092936995864,32.283092936995864,-0.03746336645916908,-0.03746336645916908,-0.03746336645916908,1.8480634296554503,1.8480634296554503,1.8480634296554503,33.92482474038528,31.886182843920235,36.076410746405124
16,2014-08-05,32.32150990594101,32.32150990594101,32.32150990594101,-0.004759525541853781,-0.004759525541853781,-0.004759525541853781,1.7470260625649245,1.7470260625649245,1.7470260625649245,33.89490818315721,31.913258524992706,35.98212780202411
17,2014-08-06,32.35992687488614,32.35992687488614,32.35992687488614,0.03255755949604362,0.03255755949604362,0.03255755949604362,1.6412785534140955,1.6412785534140955,1.6412785534140955,33.86489472798942,31.78008942581476,35.89939606764224
18,2014-08-07,32.398343843831285,32.398343843831285,32.398343843831285,-0.0008295094392291475,-0.0008295094392291475,-0.0008295094392291475,1.5322698335811535,1.5322698335811535,1.5322698335811535,33.760915908166346,31.83244453561478,35.74944775108611
19,2014-08-08,32.43676081277642,32.43676081277642,32.43676081277642,-0.03172214606849501,-0.03172214606849501,-0.03172214606849501,1.4214443531626897,1.4214443531626897,1.4214443531626897,33.65761476006375,31.62960817833878,35.73493024909312
20,2014-08-11,32.55201171961183,32.55201171961183,32.55201171961183,-0.03746336645919348,-0.03746336645919348,-0.03746336645919348,1.0919059829307731,1.0919059829307731,1.0919059829307731,33.43758607627655,31.377083339128276,35.51183745074683
21,2014-08-12,32.59042868855697,32.59042868855697,32.59042868855697,-0.004759525541796718,-0.004759525541796718,-0.004759525541796718,0.9872870595138719,0.9872870595138719,0.9872870595138719,33.40408796272219,31.301631985609873,35.510994327373524
22,2014-08-13,32.628845657502104,32.628845657502104,32.628845657502104,0.03255755949603539,0.03255755949603539,0.03255755949603539,0.8871523973772822,0.8871523973772822,0.8871523973772822,33.37968735456856,31.202300041404094,35.49495033857286
23,2014-08-14,32.66726262644725,32.66726262644725,32.66726262644725,-0.0008295094391729859,-0.0008295094391729859,-0.0008295094391729859,0.792437706226795,0.792437706226795,0.792437706226795,33.29000256342801,31.247146642866774,35.34390821005918
24,2014-08-15,32.70567959539238,32.70567959539238,32.70567959539238,-0.03172214606849849,-0.03172214606849849,-0.03172214606849849,0.7039368281317127,0.7039368281317127,0.7039368281317127,33.20902601764874,31.136616253631978,35.25229653455345
25,2014-08-18,32.8209305022278,32.8209305022278,32.8209305022278,-0.0374633664591972,-0.0374633664591972,-0.0374633664591972,0.48138131262599543,0.48138131262599543,0.48138131262599543,33.09598018858774,31.05684404856609,35.177100312749836
26,2014-08-19,32.85934747117294,32.85934747117294,32.85934747117294,-0.004759525541885388,-0.004759525541885388,-0.004759525541885388,0.4226240006699222,0.4226240006699222,0.4226240006699222,33.108343686494116,31.12513334972408,35.05457461194717
27,2014-08-20,32.89776444011808,32.89776444011808,32.89776444011808,0.032557559496038856,0.032557559496038856,0.032557559496038856,0.37175462529314623,0.37175462529314623,0.37175462529314623,33.13320836510041,30.918454082465807,35.273741221361796
