,ds,trend,trend_lower,trend_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat,yhat_lower,yhat_upper
0,2014-07-14,1939.4162284167107,1939.4162284167107,1939.4162284167107,-7.214688179479609,-7.214688179479609,-7.214688179479609,92.5396558664817,92.5396558664817,92.5396558664817,1925.39593525399,1852.0368384822934,1994.268406105521
1,2014-07-15,1941.099291587885,1941.099291587885,1941.099291587885,-3.8462133149596403,-3.8462133149596403,-3.8462133149596403,95.62761734324043,95.62761734324043,95.62761734324043,1933.5354347664431,1869.5024741378477,2002.0986171591892
2,2014-07-16,1942.7823547590594,1942.7823547590594,1942.7823547590594,-3.967958043346855,-3.967958043346855,-3.967958043346855,98.50995381046663,98.50995381046663,98.50995381046663,1937.9790896764564,1868.9129405882948,2006.3790486532562
3,2014-07-17,1944.4654179302338,1944.4654179302338,1944.4654179302338,-5.121999256998255,-5.121999256998255,-5.121999256998255,101.14963780025693,101.14963780025693,101.14963780025693,1941.1477956237698,1876.6263865276642,2010.6959884848889
4,2014-07-18,1946.148481101408,1946.148481101408,1946.148481101408,-4.685453418506882,-4.685453418506882,-4.685453418506882,103.51438863784068,103.51438863784068,103.51438863784068,1945.632155471019,1881.4292992550384,2012.2342760338654
5,2014-07-21,1951.197670614931,1951.197670614931,1951.197670614931,-7.214688179479677,-7.214688179479677,-7.214688179479677,108.71914004894371,108.71914004894371,108.71914004894371,1953.3568616346722,1886.0620971104781,2023.7808888367053
6,2014-07-22,1952.8807337861053,1952.8807337861053,1952.8807337861053,-3.84621331495394,-3.84621331495394,-3.84621331495394,109.77444513695647,109.77444513695647,109.77444513695647,1959.4637047583851,1896.2726581038999,2024.4718679785828
7,2014-07-23,1954.5637969572797,1954.5637969572795,1954.5637969572795,-3.9679580433429242,-3.9679580433429242,-3.9679580433429242,110.48071498365447,110.48071498365447,110.48071498365447,1961.7312930478683,1890.5362563278177,2028.4433047369298
8,2014-07-24,1956.2468601284536,1956.2468601284536,1956.2468601284536,-5.121999257005376,-5.121999257005376,-5.121999257005376,110.84171591387249,110.84171591387249,110.84171591387249,1962.621315935598,1893.9549462927364,2027.757638784114
9,2014-07-25,1957.929923299628,1957.929923299628,1957.929923299628,-4.685453418510412,-4.685453418510412,-4.685453418510412,110.8670772565579,110.8670772565579,110.8670772565579,1964.7662862879527,1893.5582314735923,2032.973654772197
10,2014-07-28,1962.9791128131512,1962.9791128131512,1962.9791128131512,-7.214688179467075,-7.214688179467075,-7.214688179467075,109.1037885945458,109.1037885945458,109.1037885945458,1965.5229523785072,1896.402896646239,2031.018310893054
11,2014-07-29,1964.6621759843256,1964.6621759843256,1964.6621759843256,-3.846213314961913,-3.846213314961913,-3.846213314961913,107.98282543397342,107.98282543397342,107.98282543397342,1969.4535272536143,1894.3134799932923,2038.6680082102912
12,2014-07-30,1966.3452391554995,1966.3452391554995,1966.3452391554995,-3.967958043347594,-3.967958043347594,-3.967958043347594,106.64356322647005,106.64356322647005,106.64356322647005,1969.675583488899,1905.043090556795,2039.3123770800998
13,2014-07-31,1968.0283023266738,1968.0283023266738,1968.0283023266738,-5.121999257012495,-5.121999257012495,-5.121999257012495,105.11829519379907,105.11829519379907,105.11829519379907,1968.6793374137376,1895.035204060503,2031.6296191132963
14,2014-08-01,1969.7113654978482,1969.7113654978482,1969.7113654978482,-4.6854534185139425,-4.6854534185139425,-4.6854534185139425,103.44034155717293,103.44034155717293,103.44034155717293,1969.1209927867844,1902.4961945835485,2040.233285536778
15,2014-08-04,1974.7605550113713,1974.7605550113713,1974.7605550113713,-7.214688179478219,-7.214688179478219,-7.214688179478219,97.82151906294195,97.82151906294195,97.82151906294195,1966.0221250451123,1897.6571118349696,2034.0817113233422
16,2014-08-05,1976.4436181825454,1976.4436181825454,1976.4436181825454,-3.846213314959441,-3.846213314959441,-3.846213314959441,95.85786987592726,95.85786987592726,95.85786987592726,1969.1100138937904,1903.0971798137136,2035.6661367315562
17,2014-08-06,1978.1266813537197,1978.1266813537197,1978.1266813537197,-3.9679580433417416,-3.9679580433417416,-3.9679580433417416,93.89555962916809,93.89555962916809,93.89555962916809,1968.7090220898233,1903.3373514675723,2039.906460034917
18,2014-08-07,1979.809744524894,1979.809744524894,1979.809744524894,-5.121999257006907,-5.121999257006907,-5.121999257006907,91.95815106163802,91.95815106163802,91.95815106163802,1967.3006354798024,1903.4755755644153,2032.8368734831586
19,2014-08-08,1981.4928076960684,1981.4928076960687,1981.4928076960687,-4.685453418509988,-4.685453418509988,-4.685453418509988,90.06564675852744,90.06564675852744,90.06564675852744,1967.5277401863632,1901.6622570047668,2040.825275895078
20,2014-08-11,1986.5419972095915,1986.5419972095915,1986.5419972095915,-7.214688179489365,-7.214688179489365,-7.214688179489365,84.79948425584868,84.79948425584868,84.79948425584868,1964.781532436228,1894.913451896936,2029.6339525088733
21,2014-08-12,1988.2250603807656,1988.2250603807656,1988.2250603807656,-3.846213314950512,-3.846213314950512,-3.846213314950512,83.20873954168363,83.20873954168363,83.20873954168363,1968.242325757776,1900.4235386572805,2036.732289994631
22,2014-08-13,1989.90812355194,1989.90812355194,1989.90812355194,-3.967958043344741,-3.967958043344741,-3.967958043344741,81.7045385668983,81.7045385668983,81.7045385668983,1968.2994432257708,1901.2778845535177,2034.1797346551477
23,2014-08-14,1991.5911867231143,1991.5911867231143,1991.5911867231143,-5.121999257015096,-5.121999257015096,-5.121999257015096,80.28420944884883,80.28420944884883,80.28420944884883,1967.4081360652253,1902.7667081354352,2035.4047849510873
24,2014-08-15,1993.2742498942887,1993.2742498942887,1993.2742498942887,-4.685453418513519,-4.685453418513519,-4.685453418513519,78.94213519884636,78.94213519884636,78.94213519884636,1968.1856708248988,1901.0247266369158,2029.450102976
25,2014-08-18,1998.3234394078115,1998.3234394078115,1998.3234394078115,-7.214688179489431,-7.214688179489431,-7.214688179489431,75.29550018041091,75.29550018041091,75.29550018041091,1967.0589905590102,1897.6277868947443,2033.7104870635576
26,2014-08-19,2000.0065025789859,2000.0065025789859,2000.0065025789859,-3.8462133149617164,-3.8462133149617164,-3.8462133149617164,74.16912757006185,74.16912757006185,74.16912757006185,1970.9841559843633,1905.5697865914108,2036.8904935578237
27,2014-08-20,2001.6895657501602,2001.6895657501605,2001.6895657501605,-3.967958043344149,-3.967958043344149,-3.967958043344149,73.06700470215728,73.06700470215728,73.06700470215728,1971.4433515592507,1898.5007899822024,2036.186303217055
28,2014-08-21,2003.3726289213346,2003.3726289213346,2003.3726289213346,-5.121999257009508,-5.121999257009508,-5.121999257009508,71.97713610229414,71.97713610229414,71.97713610229414,1970.8825049168966,1899.696904602251,2035.2161292966266
29,2014-08-22,2005.055692092509,2005.055692092509,2005.055692092509,-4.68545341849941,-4.68545341849941,-4.68545341849941,70.88840802105513,70.88840802105513,70.88840802105513,1971.913385845342,1900.5493839578594,2040.1520529292989
30,2014-08-25,2010.1048816060315,2010.1048816060315,2010.1048816060315,-7.214688179487909,-7.214688179487909,-7.214688179487909,67.54032767464508,67.54032767464508,67.54032767464508,1971.085260251466,1903.2303653562712,2040.0259723705972
31,2014-08-26,2011.7879447772061,2011.7879447772061,2011.7879447772061,-3.8462133149729163,-3.8462133149729163,-3.8462133149729163,66.37721494811255,66.37721494811255,66.37721494811255,1974.973685560623,1908.754821505068,2040.7582654793118
32,2014-08-27,2013.4710079483805,2013.4710079483805,2013.4710079483805,-3.9679580433435593,-3.9679580433435593,-3.9679580433435593,65.18630183590204,65.18630183590204,65.18630183590204,1975.3440908912162,1904.2535140791538,2046.78013600633
33,2014-08-28,2015.1540711195548,2015.1540711195548,2015.1540711195548,-5.121999257016627,-5.121999257016627,-5.121999257016627,63.96858505940111,63.96858505940111,63.96858505940111,1974.6553960722165,1907.8528476845713,2045.369685077554
34,2014-08-29,2016.8371342907292,2016.8371342907292,2016.8371342907292,-4.685453418485303,-4.685453418485303,-4.685453418485303,62.72735491892357,62.72735491892357,62.72735491892357,1975.5337749414448,1909.6804635114104,2037.1702315857185
35,2014-09-02,2023.5693869754261,2023.5693869754261,2023.5693869754261,-3.8462133149672146,-3.8462133149672146,-3.8462133149672146,57.660816899915154,57.660816899915154,57.660816899915154,1978.0387297106513,1919.791779172196,2046.0999848133772
